Question Topic;Keep;Comment;Area / Subarea;Page - Module;Variablename;Labels;German Question;English Question;Values
School Father;FALSE;“;Demography;LevelFamily - DemographicApp;demographic_app.1.player.school_father;Selection;"""Bitte geben Sie den höchsten Schulabschluss an, den Ihr Vater erreicht hat.""";"""Please select the highest school education level reached by your father.""";"0 = School Graduation without Degree; 1 = Primary School Graduation with Degree; 2 = Secondary School Graduation; 3 = Higher School without Graduation; 4 = High School Graduation; 5 = Other Degree; -999 = No answer"
Education Father;FALSE;“;Demography;LevelFamily - DemographicApp;demographic_app.1.player.edu_father;Selection;"""Bitte geben Sie den höchsten Bildungsabschluss an, den Ihr Vater erreicht hat.""";"""Please select the highest education level reached by your father.""";"0 = no degree; 1 = primary school with degree; 2 = secondary school graduation; 3 = higher school without graduation; 4 = high school graduation; 5 = other degree; -999 = no answer"
Education Mother;FALSE;“;Demography;LevelFamily - DemographicApp;demographic_app.1.player.edu_mother;Selection;"""Bitte geben Sie den höchsten Schulabschluss an, den Ihre Mutter erreicht hat.""";"""Please select the highest education level reached by your mother.""";"0 = no degree; 1 = primary school with degree; 2 = secondary school graduation; 3 = higher school without graduation; 4 = high school graduation; 5 = other degree; -999 = no answer"
Work Education Father;FALSE;“;Demography;LevelFamily - DemographicApp;demographic_app.1.player.work_edu_father;Selection;"""Bitte geben Sie den höchsten beruflichen Bildungsabschluss an, den Ihre Mutter erreicht hat.""";"""Please select the highest working education level reached by your father.""";"0 = no working education; 1 = workplace education with certificate; 2 = partial vocational training; 3 = vocational training; 4 = vocational school qualification; 5 = technical school qualification; 6 = master, technician or equivalent technical school qualification; 7 = higher school degree (also degree from an engineering school); 8 = university degree; -999 = no answer"
Work Education Mother;FALSE;“;Demography;LevelFamily - DemographicApp;demographic_app.1.player.work_edu_mother;Selection;"""Bitte geben Sie den höchsten beruflichen Bildungsabschluss an, den Ihr Vater erreicht hat.""";"""Please select the highest working education level reached by your mother.""";"0 = no working education; 1 = workplace education with certificate; 2 = partial vocational training; 3 = vocational training; 4 = vocational school qualification; 5 = technical school qualification; 6 = master, technician or equivalent technical school qualification; 7 = higher school degree (also degree from an engineering school); 8 = university degree; -999 = no answer"
Occupation Father;FALSE;“;Demography;LevelFamily - DemographicApp;demographic_app.1.player.ocu_father;Selection;"""Bitte geben Sie an, ob Ihr Vater berufstätig ist.""";"""Please select if your father currently has an occupaton.""";"0 = not employed; 1 = emplyed, part-time; 2 = employed, full-time; -999 = no answer"
Occupation Mother;FALSE;“;Demography;LevelFamily - DemographicApp;demographic_app.1.player.ocu_mother;Selection;"""Bitte geben Sie an, ob Ihre Mutter berufstätig ist.""";"""Please select if your mother currently has an occupaton.""";"0 = not employed; 1 = emplyed, part-time; 2 = employed, full-time; -999 = no answer"
;;;;;;;;;
Semester of Study;TRUE;;Study;Study - DemographicApp;demographic_app.1.player.semester_of_study;Field;"""In welchem Fachsemester befinden Sie sich?""";"""What semester of study are you in?""";
Consecutive Study Program;EDIT;;Study;Study - DemographicApp;demographic_app.1.player.consecutive_study_program;Selection;"""Wollen Sie unmittelbar nach dem BA-Studium Ihre akademische Laufbahn fortsetzen und welchen Abschluss streben Sie an?""";"""Do you plan to continue your academic career after your BA studies and which degree do you aim for?""";"0 = No; 1 = Master's Degree; 2 = PhD Doctor's Degree; -999 = Don't know"
Study Program;TRUE;;Study;Study - DemographicApp;demographic_app.1.player.study_program;Selection;"""In welchem der folgenden Studiengänge sind Sie eingeschrieben?""";"""In which of the following study programs are you enrolled?""";"1 = BA. Politics - Administration - Management; 2 = B.Ed. Political Science as minor subject; 3 = MSc. Wirtschaftspädagogik; 4 = MSc. Social and Economic Data Science (SEDS); -999 = No Answer"
Other Study Program;FALSE;Not needed, covered by other option in Study program Question;Study;Study - DemographicApp;demographic_app.1.player.study_program_other;Field;"""In welchem der folgenden Studiengänge sind Sie eingeschrieben?""";"""In which of the following study programs are you enrolled?""";
Tutorial Group;TRUE;;Study;Tutorials - DemographicApp;demographic_app.1.player.tutorial;Selection;"""An welchem Tutorium nehmen Sie teil?""";"""In which tutorial do you participate?""";"0 = none; 1 = Robin; 2 = Mike; 3 = Philipp; 4 = Alban; 5 = Finn; 6 = Nils; 7 = Marlene; 8 = Theresa"
Grade Expectation ;TRUE;;Study;Tutorials - DemographicApp;demographic_app.1.player.grade;Selection;"""Welche Note erwarten Sie für sich in der Klausur dieser Vorlesung am Ende des Semesters?""";"""What grade do you expect to receive in the final exam of this lecture at the end of the semester?""";"1.0; 1.3; 1.7; 2.0; 2.3; 2.7; 3.0; 3.3; 3.7; 4.0; 5.0; -999 = no answer"
Fresherscamp;TRUE;;Study;FreshersCamp - DemographicApp;demographic_app.1.player.fresherscamp_student;Selection;"""Waren Sie zu Beginn diesen Semesters auf dem Erstihof?""";"""Did you go to a freshers camp at the beginning of this semester?""";"0 = No; 1 = Camp 1; 2 = Camp 2; 3 = Camp 3; 4 = Camp 4"
Freshersweek;TRUE;;Study;FreshersCamp - DemographicApp;demographic_app.1.player.freshersweek_student;Selection;"""Haben Sie an Veranstaltungen der Erstiwoche teilgenommen?""";"""Did you participate in any events of the ""freshers"" week?""";"0 = No; 1 = Yes"
;;;;;;;;;
Acquaintance Relation ;TRUE;;Social / Relation;NetworkApp;;;;;
Friendship Relation;TRUE;;Social / Relation;NetworkApp;;;;;
Trust Relation;TRUE;;Social / Relation;NetworkApp;;;;;
Study Relation;TRUE;;Social / Relation;NetworkApp;;;;;
Politics Relation;TRUE;;Social / Relation;NetworkApp;;;;;
Sentiment Relation ;TRUE;;Social / Relation;NetworkApp;;;;;
Old Acquaintance Relation  ;NEW;Checking if people knew each other before they started studying;Social / Relation;NetworkApp;;;;;
Social Experience ;NEW;Narrative question(s) to allow for more open input by students and to facilitate understanding of experiences made by students;Social / Exploratory;NetworkApp;;;;;
Social Network Facebook;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_1;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network Twitter;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_2;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network LinkedIn;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_3;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network Instagram;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_4;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network Signal;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_5;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network YouTube;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_6;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network Snapchat;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_7;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network WhatsApp;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_8;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network TikTok;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_9;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network Telegram;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_10;Selection;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Social Network Other;TRUE;;Social / Platform;Participation - DemographicApp;demographic_app.1.player.social_networks_11;Field;"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""";"""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""";"0 = no use; 1 = use"
Cat or Dog;FALSE;Could be formulated differently, basically we are asking for the social type of the person;Social ;RandomNumber - EndApp;end_app.1.player.catdog;Selection;"""Nun noch die wichtigste Frage. Wenn Sie sich entscheiden müssten, wen mögen Sie lieber, Hunde oder Katzen?""";"""Now the most important question. If you had to decide, who do you prefer, dogs or cats?""";"1 = ""Cats of course!""; 2 = ""Dogs of course!""; 3 = ""How can you make me chose, I love them both equally!""; 4 = ""Neither!""; -999 = ""No Answer"""
;;;;;;;;;
Left-Right Self-Assessment;EDIT;;Poltics / Social;LeftrightSelfassessment - NetworkApp;network_app.1.player.linksrechts_self;Selection;"""Viele Leute verwenden die Begriffe links (1) und rechts (11), wenn es darum geht, unterschiedliche politische Einstellungen zu kennzeichnen. Wenn Sie an Ihre eigenen politischen Ansichten denken, wo würden Sie sich selbst auf dieser Skala einstufen?""";"""A lot of people use the terms left"" (1) and right (11) when it comes to labeling different political attitudes. When you think of your own political views, where would you place yourself on this scale?""";1 (left) - 11 (right)
Left-Right Other-Assessment;EDIT;;Poltics / Social;LeftrightSelfassessment - NetworkApp;network_app.1.player.linksrechts_{number};Selection;"""Viele Leute verwenden die Begriffe links (1) und rechts (11), wenn es darum geht, unterschiedliche politische Einstellungen zu kennzeichnen. Wenn Sie an Ihre eigenen politischen Ansichten denken, wo würden Sie sich selbst auf dieser Skala einstufen?""";"""A lot of people use the terms left"" (1) and right (11) when it comes to labeling different political attitudes. When you think of your own political views, where would you place yourself on this scale?""";1 (left) - 11 (right)
Participation Demonstration;EDIT;;Poltics / Participation;Participation - DemographicApp;demographic_app.1.player.participation_demonstration;Selection;"""Haben Sie schon einmal an einer Demonstration teilgenommen?""";"""Have you ever participated in a demonstration?""";"1 = Yes; 2 = No"
Participation Demonstration Initiative;EDIT;;Poltics / Participation;Participation - DemographicApp;demographic_app.1.player.participation_demonstration_1;Selection;"""Ihre Teilnahme an dieser Demonstration erfogte""";"""Your participation in this demonstration was""";"1 = on your own initiative; 2 = because you accompanied someone to this demonstration"
Petition Signatory;EDIT;;Poltics / Participation;Participation - DemographicApp;demographic_app.1.player.petition_signatory;Selection;"""Haben Sie schon einmal eine Petition unterschrieben?""";"""Have you ever signed a petition?""";"1 = Yes; 2 = No"
Petition Awareness;EDIT;;Poltics / Participation;Participation - DemographicApp;demographic_app.1.player.petition_signatory_1;Selection;"""Sie sind auf diese Petition""";"""You have become aware of this petition""";"1 = yourself; 2 = through others"
Sunday Poll;TRUE;;Poltics / Participation;Sonntagsfrage - PoliticalApp;political_app.1.player.sunday_poll;Selection;"""Nun möchten wir Ihnen einige Fragen zu politikwissenschaftlich relevanten Themen stellen. Wenn am nächsten Sonntag Bundestagswahl wäre, würden Sie dann zur Wahl gehen?""";"""We would now like to ask you a few questions on topics relevant to political science. If there were a German general election on next Sunday, would you go to the polls?""";"1 = yes; 2 = don't know; 3 = no; 4 = not eligible to vote"
Sunday Party Vote (Eligible);TRUE;;Poltics / Participation;Sonntagsfrage - PoliticalApp;political_app.1.player.sunday_party_vote;Selection;"""Und welche Partei würden Sie wählen?""";"""And which party wpuld you vote for?""";"1 = SPD; 2 = CDU/CSU; 3 = Bündnis 90/Die Grünen; 4 = FDP; 5 = Die Linke; 6 = AfD; 7 = BSW; 8 = another party"
Sunday Vote (Not Eligible);TRUE;;Poltics / Participation;Sonntagsfrage - PoliticalApp;political_app.1.player.sunday_not_eligible;Selection;"""Vorausgesetzt Sie dürften wählen, würden Sie dann zur Wahl gehen?""";"""If you were allowed to vote, would you go to the polls?""";"1 = yes; 2 = no; 3 = don't know"
Sunday Party Vote (Not Eligible);TRUE;;Poltics / Participation;Sonntagsfrage - PoliticalApp;political_app.1.player.noteligible_sunday_party_vote;Selection;"""Und welche Partei würden Sie wählen?""";"""And which party wpuld you vote for?""";"1 = SPD; 2 = CDU/CSU; 3 = Bündnis 90/Die Grünen; 4 = FDP; 5 = Die Linke; 6 = AfD; 7 = BSW; 8 = another party"
Reason No Vote;TRUE;;Poltics / Participation;Sonntagsfrage - PoliticalApp;political_app.1.player.reason_no_vote;Field;"""Warum würden Sie nicht wählen gehen?""";"""Why would you go not voting?""";
Scale CDU;FALSE;Redundancy and lacking specificity basically we are asking for voting preferences in a convoluted way;Politics / Party;ScaloParty - PoliticalApp;political_app.1.player.scalo_cdu;Selection;"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""";"""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale CSU;FALSE;“;Politics / Party;ScaloParty - PoliticalApp;political_app.1.player.scalo_csu;Selection;"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""";"""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale SPD;FALSE;“;Politics / Party;ScaloParty - PoliticalApp;political_app.1.player.scalo_spd;Selection;"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""";"""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Gruene;FALSE;“;Politics / Party;ScaloParty - PoliticalApp;political_app.1.player.scalo_gruene;Selection;"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""";"""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale FDP;FALSE;“;Politics / Party;ScaloParty - PoliticalApp;political_app.1.player.scalo_fdp;Selection;"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""";"""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale AfD;FALSE;“;Politics / Party;ScaloParty - PoliticalApp;political_app.1.player.scalo_afd;Selection;"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""";"""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Linke;FALSE;“;Politics / Party;ScaloParty - PoliticalApp;political_app.1.player.scalo_linke;Selection;"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""";"""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale BSW;FALSE;“;Politics / Party;ScaloParty - PoliticalApp;political_app.1.player.scalo_bsw;Selection;"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""";"""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Left-Right Assessment CDU;EDIT;Did not show any surprising results last time, except for BSW;Politics / Party;LeftRightParty - PoliticalApp;political_app.1.player.lr_CDU;Selection;"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""";"""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?";"1 (left) - 11 (right); -999 = No Answer"
Left-Right Assessment CSU;EDIT;“;Politics / Party;LeftRightParty - PoliticalApp;political_app.1.player.lr_CSU;Selection;"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""";"""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?";"1 (left) - 11 (right); -999 = No Answer"
Left-Right Assessment SPD;EDIT;“;Politics / Party;LeftRightParty - PoliticalApp;political_app.1.player.lr_SPD;Selection;"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""";"""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?";"1 (left) - 11 (right); -999 = No Answer"
Left-Right Assessment Gruene;EDIT;“;Politics / Party;LeftRightParty - PoliticalApp;political_app.1.player.lr_Gruene;Selection;"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""";"""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?";"1 (left) - 11 (right); -999 = No Answer"
Left-Right Assessment FDP;EDIT;“;Politics / Party;LeftRightParty - PoliticalApp;political_app.1.player.lr_FDP;Selection;"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""";"""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?";"1 (left) - 11 (right); -999 = No Answer"
Left-Right Assessment Linke;EDIT;“;Politics / Party;LeftRightParty - PoliticalApp;political_app.1.player.lr_Linke;Selection;"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""";"""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?";"1 (left) - 11 (right); -999 = No Answer"
Left-Right Assessment AfD;EDIT;“;Politics / Party;LeftRightParty - PoliticalApp;political_app.1.player.lr_AfD;Selection;"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""";"""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?";"1 (left) - 11 (right); -999 = No Answer"
Left-Right Assessment BSW;EDIT;“;Politics / Party;LeftRightParty - PoliticalApp;political_app.1.player.lr_BSW;Selection;"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""";"""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?";"1 (left) - 11 (right); -999 = No Answer"
Scale Olaf Scholz;EDIT;Last time not really used. Not sure how an overhaul would look like;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep1;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Kamala Harris;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep2;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
